name,transcription,meaning,extended meaning,gloss,language
Adédọlá,adé-di-ọlá,Royalty becomes wealth.,unknown,"[{'adé': ' - crown, royalty'}]",yoruba
Adéèjímitẹ́,adé-è-jẹ́-mi-tẹ́,Royalty/The Crown will not let me be put to shame.,"It is a condensed derivative from the statement, ""Adé kò ní jẹ́ kí èmi ó tẹ́""","[{'adé': ' - crown, royalty'}]",yoruba
Adéẹ̀kọ́,"adé-ẹ̀kọ́, adé-(r)ẹ̀-kọ́",1. The king of knowledge. 2. The crown isn't his.,unknown,[{'adé': ' - crown'}],yoruba
Adéfarakàn,adé-fi-ara-kàn,Touched by royalty.,See also: Adéfaratì,[{'adé': ' - crown'}],yoruba
Adéfarasin,adé-fi-ara-sin,Royalty stays hidden.,unknown,"[{'adé': ' - crown, royalty'}]",yoruba
Adéfaratì,adé-fi-ara-tì,What the crown rests on.,unknown,[{'adé': ' - crown'}],yoruba
Adéfàjò,"adé-fa-òjò, a-dé-fà-jò",1. The crown has caused an increase. 2. One that arrives and brings blessings/increase.,unknown,[{'adé': ' - crown'}],yoruba
Adéfihàn,adé-fi-hàn,The crown showed him/her off.,unknown,[{'adé': ' - crown'}],yoruba
Adéfikáyọ̀,adé-fi-kún-ayọ̀,The crown has added to joy.,unknown,[{'adé': ' - crown'}],yoruba
Adéfióyè,adé-fi(sí)-óyè,The crown puts into honour.,unknown,[{'adé': ' - crown'}],yoruba
Adéfisan,adé-fi-san,The crown paid (with this).,unknown,"[{'adé': ' - crown, royalty'}]",yoruba
Adéfisáyọ̀,adé-fi-sí-ayọ̀,The crown added to (our) joy.,See: Awófisáyọ̀,"[{'adé': ' - crown, royalty'}]",yoruba
Adéfisóyè,adé-fi-sí-oyè,The crown adds to (our) honour.,unknown,[{'adé': ' - crown'}],yoruba
Adéfiọ́ba,adé-fi-(sí)-ọba,The crown adds to royalty.,unknown,[{'adé': ' - crown'}],yoruba
Adéfolúrẹ̀,adé-fi-olú-rẹ̀,The crown consoles itself with the lord.,unknown,[{'adé': ' - crown'}],yoruba
Adéfolúwẹ̀,adé-fi-olú-wẹ̀,The crown bathes with prominence.,unknown,[{'adé': ' - crown'}],yoruba
Adéfowópè,adé-fi-owó-pè,Royalty summoned by riches.,unknown,"[{'adé': ' - royalty, crown'}]",yoruba
Adéfoyèkẹ́mi,adé-fi-oyè-kẹ́-mi,The crown pampered me with a title.,unknown,[{'adé': ' - crown'}],yoruba
Adéfóyèkẹ́,adé-fún-oyè-kẹ́,The crown gives (this one) to honour for cherishing.,unknown,"[{'adé': ' - crown, royalty'}]",yoruba
Adéfuwà,[unknown],[meaning unknown],unknown,[{None: ' - '}],yoruba
Adéfúnmbí,adé-fún-mi-bí,The prince/king has given me this child to birth.,unknown,"[{'adé': ' - crown, royalty'}]",yoruba
Adéfẹwàshọlá,"a-dé-fi-ẹwà-ṣe-ọlá, adé-fi-ẹwà-ṣe-ọlá",1. One who makes success/nobility/wealth with beauty on their arrival. 2. The crown makes success/nobility/wealth with beauty.,unknown,[{'a': ' - someone'}],yoruba
Adéfẹwàṣọlá,"a-dé-fi-ẹwà-ṣe-ọlá, adé-fi-ẹwà-ṣe-ọlá",1. One who makes success/nobility/wealth with beauty on their arrival. 2. The crown makes success/nobility/wealth with beauty.,unknown,[{'a': ' - someone'}],yoruba
Adéfẹ̀sọ̀,adé-fi-ẹ̀sọ̀,The crown exercises patience.,unknown,[{'adé': ' - crown'}],yoruba
Adéfẹ́mi,adé-fẹ́-mi,The royal crown loves me,unknown,[{'adé': ' - crown'}],yoruba
Adéfọlájù,ade-fi-ọlá-jù,The crown is greater because of wealth.,unknown,[{'adé': ' - crown'}],yoruba
Adéfọlákẹ́,adé-fi-ọlá-kẹ́,Cherished by the crown.,unknown,"[{'adé': ' - crown, royalty'}]",yoruba
Adéfọlámí,adé-fi-ọlá-mí,The crown breathes with wealth.,unknown,[{'adé': ' - crown'}],yoruba
Adéfọláwẹ̀,adé-fi-ọlá-ẹ̀,The crown bathes with nobility.,unknown,[{'adé': ' - crown'}],yoruba
Adéfọláyan,adé-fi-ọlá-yan,Royalty struts with wealth.,unknown,[{'adé': ' - crown'}],yoruba
Adégbajú,adé-gbajú,The crown is famous.,unknown,"[{'adé': ' - crown, royalty'}]",yoruba
Adégbayọ̀,"adé-gbà-ayọ̀, a-dé-gba-ayọ̀",The crown receives job. We have arrived to receive joy.,unknown,"[{'adé': ' - crown, royalty'}]",yoruba
Adégbàlà,adé-gbà-là,Royalty saved (him/her).,unknown,[{'adé': ' - adé'}],yoruba
Adégbàńgbé,adé-gbà-ń-gbé,Royalty accepted me completely.,unknown,"[{'adé': ' - crown, royalty'}]",yoruba
Adégbàyí,adé-gba-èyí,Royalty received this.,unknown,"[{'adé': ' - crown, royalty'}]",yoruba
Adégbémbọ̀,adé-gbé-mi-bọ̀,Royalty brought me back.,"""A crown that brings you back presumably to a place of glory.""","[{'adé': ' - crown, royalty'}]",yoruba
Adégbémiró,adé-gbé-mi-ró,Royalty holds me up.,unknown,"[{'adé': ' - royalty, crown'}]",yoruba
Adégbénlé,adé-gbé-n-lé,The crown places me on top.,unknown,"[{'adé': ' - crown, royalty'}]",yoruba
Adégbénró,adé-gbé-mi-ró,Royalty promotes me. The crown uplifts me. Royalty is my pillar.,unknown,"[{'adé': ' - royalty, crown'}]",yoruba
Adégbìjà,adé-gbe-ìjà,Royalty took (my) side (in a fight).,unknown,"[{'adé': ' - crown, royalty'}]",yoruba
Adégbìlẹrọ̀,adé-gba-ilẹ̀-rọ̀,The crown landed to become soft-hearted. [verification needed],unknown,[{'adé': ' - child'}],yoruba
Adégboríoyè,adé-gba-orí-oyè,Royalty receives the primacy of honour.,See also: Adégoríoyè,"[{'adé': ' - crown, royalty'}]",yoruba
Adégborúwà,-,[Meaning unknown],unknown,[{None: ' - '}],yoruba
Adégboyè,adé-gba-oyè,1. The crown receives honour. 2. We arrived to receive honour.,unknown,[{'adé': ' - crown'}],yoruba
Adégbóyèga,adé-gbé-oyè-ga,The crown increased (our) honour.,unknown,[{'adé': ' - crown'}],yoruba
Adégbuyì,"adé-gba-uyì, a-dé-gba-uyì",1. The crown receives honour. 2. One who arrives to receive honour.,unknown,[{'adé': ' - crown'}],yoruba
Adégbùlúgbé,adé-gbà-ìlú-gbé,The crown hasn't forgotten the town.,unknown,"[{'adé': ' - crown, royalty'}]",yoruba
Adégbẹ̀san,adé-gbẹ̀san,The crown revenges.,unknown,[{'adé': ' - crown'}],yoruba
Adégbẹ̀yẹ,adé-gba-ẹ̀yẹ,The crown achieved glory.,unknown,"[{'adé': ' - crown, royalty'}]",yoruba
Adégbọrọ̀,"adé-gba-ọrọ̀, a-dé-gba-ọrọ̀",1. The crown receives riches. 2. We arrived to receive riches.,unknown,[{'adé': ' - crown'}],yoruba
Adégbọ̀nmírè,adé-gbọ̀n-mí-rè,Royalty has not ignored me.,unknown,[{'adé': ' - crown'}],yoruba
Adégbọ́bajó,adé-gbé-ọba-jó,The crown makes the king dance.,unknown,"[{'adé': ' - crown, royalty'}]",yoruba
Adégbọ́lágún,adé-gbé-ọlá-gún,Royalty makes nobility proper.,unknown,"[{'adé': ' - crown, royalty, kingship'}]",yoruba
Adégolú,adé-gun-olú,Royalty climbs on prominence.,unknown,"[{'adé': ' - crown, royalty'}]",yoruba
Adégoríọlá,adé-gun-orí-ọlá,The crown climbed onto wealth.,unknown,[{'adé': ' - crown'}],yoruba
Adégoyè,adé-gun-oyè,The crown has been enthroned.,unknown,[{'adé': ' - crown'}],yoruba
Adégùnlóyè,-,The crown has had a long reign.,unknown,,yoruba
Adégúnjú,adé-gún-(ní)-ojú,Royalty is properly set.,unknown,"[{'ade': ' - crown, royalty'}]",yoruba
Adégúnlẹ̀,adé-gúnlẹ̀,Royalty has landed.,unknown,[{'adé': ' - crown'}],yoruba
Adégúnwà,adé-gúnwà,The crown reigns.,See: Fágúnwà.,[{'adé': ' - crown'}],yoruba
Adégẹyè,adé-gẹ-oyè,The crown befits the title. [verification needed],unknown,[{'adé': ' - crown'}],yoruba
Adéire,adé-ire,A crown of goodness. A crown of blessing. A good crown.,unknown,[{'adé': ' - crown'}],yoruba
Adéìfẹ́mi,adé-ìfẹ́-mi,The crown of my love.,unknown,[{'adé': ' - crown'}],yoruba
Adéìkẹ́,adé-ìkẹ́,One who has (or whose birth has) crowned the care you enjoy.,unknown,[{'adé': ' - crown'}],yoruba
Adéìtẹ́,adé-ìí-tẹ́,Royalty does not fade.,unknown,[{'adé': ' - crown'}],yoruba
Adéìyè,adé-ìyè,The crown of life.,unknown,[{'adé': ' - crown'}],yoruba
Adéjìmí,adé-jìn-mí,Crown bequeath to me.,unknown,[{'adé': ' - crown'}],yoruba
Adéjuyìgbé,adé-jẹ-uyì-gbé,Royalty has prevented honour from being wasted/destroyed.,unknown,"[{'adé': ' - crown, royalty'}]",yoruba
Adéjùbẹ,adé-jù-bẹ́ẹ̀,The crown is bigger than that.,unknown,"[{'adé': ' - crown, royalty'}]",yoruba
Adéjùgbàgbé,adé-jù-gbàgbé,Royalty can never be forgotten.,'Adé' here can also mean one's ancestral father (especially from a family of royalty). It also sounds as if someone is trying to say 'don't forget the regality of where you come from.',[{'adé': ' - crown'}],yoruba
Adéjùgbé,-,[unknown],unknown,[{None: ' - '}],yoruba
Adéjùmọ̀,adé-jùmọ,The crown collaborates.,unknown,[{'adé': ' - crown'}],yoruba
Adéjùnmọ̀bi,adé-jùnmọ̀-bí,Royalty jointly gave birth (to this).,unknown,"[{'adé': ' - crown, royalty'}]",yoruba
Adéjùyítán,adé-jù-èyí-tán,The crown is more than this.,unknown,[{'adé': ' - crown'}],yoruba
Adéjúbà,adé-júbà,The crown salutes.,unknown,[{'adé': ' - crown'}],yoruba
Adéjọjú,adé-jọjú,Royalty is precious. The crown is precious.,unknown,"[{'adé': ' - crown, royalty'}]",yoruba
Adékanlá,adé-kan-ọlá,Royalty touched success.,unknown,"[{'adé': ' - crown, royalty'}]",yoruba
Adékàḿbí,adé-kàn-mí-bí,I was given birth to deliberately by royalty.,See also: Àkànbí,"[{'adé': ' - crown, royalty'}]",yoruba
Adékànmbí,adé-kàn-mí-bí,1. Royalty chose me to give birth to. 2. It's my turn to birth the crown.,"A unique child born into a royal family, as seen in the movie Ó Le Kú by Tunde Kelani.","[{'adé': ' - crown, royalty'}]",yoruba
Adékáyọ̀wá,adé-kó-ayọ̀-wá,Royalty brought joy in multitudes.,unknown,[{'adé': ' - crown'}],yoruba
Adéképèmí,adé-ké-pè-mí,Royalty calls out to me.,unknown,[{'adé': ' - royalty'}],yoruba
Adékílẹ̀kú,a-dé-kí-ilẹ́-kú(n),One who arrives bringing abundance.,unknown,[{'a': ' - one who'}],yoruba
Adékílẹ̀kún,a-dé-kí-ilẹ̀-kún,One who arrives bringing abundance.,unknown,[{'a': ' - one who'}],yoruba
Adékòmí,adé-kò-mí,Royalty met me.,unknown,"[{'adé': ' - crown, royalty'}]",yoruba
Adékóyèjọ,adé-kó-oyè-jọ,The crown gathered honour together.,unknown,[{'adé': ' - crown'}],yoruba
Adékóyẹni,a-dé-kí-ó-yẹ-ẹni,One who arrives bringing honour.,unknown,[{'a': ' - one who'}],yoruba
Adékúnbi,adé-kún-ìbi,The crown has been added to the family.,unknown,[{'adé': ' - crown'}],yoruba
Adékúoróyè,adé-kú-oró-oyè,The crown is commended for his/her suffering to attain the honour.,unknown,[{'ade': ' - crown'}],yoruba
Adékẹ́mi,adé-kẹ́-mi,The crown cares for me.,unknown,"[{'adé': ' - crown, royalty'}]",yoruba
Adékẹ́yè,adé-kẹ́-(o)yè,The crown flatters the title/position.,"The name is also found in use amongst Òndó, Ìgbómìnà, and Offa people. A variant is Adégẹyè, as used by the juju maestro, King Sunny Ade, an Ondo man.","[{'adé': ' - crown, royalty'}]",yoruba
Adélabí,adé-ni-a-bí,We've given birth to royalty.,See also: Owólabí.,[{'adé': ' - crown'}],yoruba
Adélagun,adé-la-ogun-(já),Royalty survives (a war).,Short form of Adélagunjá.,[{'adé': ' - the crown'}],yoruba
Adélagunjá,adé-la-ogun-já,Royalty survives a war.,Adélagun,"[{'adé': ' - crown, royalty'}]",yoruba
Adélaní,adé-ni-a-ní,The crown is what we have.,unknown,[{'adé': ' - crown'}],yoruba
Adélàlú,Adé-là-ìlú,The crown is widely respected in the town.,unknown,"[{'Adé': ' - crown, royalty'}]",yoruba
Adéláyọ̀,"adé-ní-ayọ̀, adé-ni-ayọ̀",==Homograph== 1. The crown has joy (Adéláyọ̀) 2. The crown is joy. (Adélayọ̀),unknown,"[{'adé': ' - crown, royalty'}]",yoruba
Adélérè,adé-ní-èrè,The crown has rewards.,unknown,,yoruba
Adélérí,adé-ni-erí,The crown has a head.,unknown,[{'adé': ' - crown'}],yoruba
Adélóhun,adé-ní-ohun,The crown has something (tangible).,unknown,[{'adé': ' - crown'}],yoruba
Adélókun,adé-ní-okun,The crown comes with power. The king/prince is strong. Royalty is a strong bond. The crown is resilient.,unknown,"[{'adé': ' - crown, royalty'}]",yoruba
Adélóore,adé-ní-oore,The crown has goodness,unknown,[{'adé': ' - crown'}],yoruba
Adélóun,adé-ní-o(h)un,The crown has something (tangible).,unknown,[{'adé': ' - crown'}],yoruba
Adélù,a-dé-ìlú,We have arrived in town.,"It was the name of one Aláàfin of Ọ̀yọ́.
[Verification needed for the full meaning of the name]",[{'a': ' - we'}],yoruba
Adélúsì,adé-ní-ùsì,The crown has reputation.,unknown,"[{'adé': ' - crown, royalty'}]",yoruba
Adélẹgàn,adé-è-ní-ẹ̀gàn,The crown has no blemish.,unknown,[{'adé': ' - crown'}],yoruba
Adélẹ́rù,adé-ní-ẹrù,The crown has a burden.,unknown,[{'adé': ' - crown'}],yoruba
Adélọ̀tun,adé-ni-ọ̀tun,The crown is renewal,See Adédọ̀tun,"[{'adé': ' - crown, royalty'}]",yoruba
Adélọ́dún,adé-ní-ọ̀dún,1. The crown has festivity. 2. One who arrived during a festive time.,See also: Bọ́dúndé,"[{'adé': ' - crown, royalty'}]",yoruba
Adélọ́lá,adé-ní-ọlá,Royalty is wealthy.,unknown,[{'adé': ' - royalty'}],yoruba
Adélọ́pọ̀,adé-ní-ọ̀pọ̀,The crown has abundance.,unknown,[{'adé': ' - crown'}],yoruba
Adémákindé,adé-mú-akin-dé,The crown brings valor. Royalty brought the brave one.,unknown,"[{'adé': ' - crown, royalty'}]",yoruba
Adémákinwá,adé-mú-akin-wá,Royalty brought valor.,unknown,"[{'adé': ' - crown, royalty'}]",yoruba
Adémidayọ̀,adé-mi-di-ayọ̀,My crown has become joy.,unknown,[{'adé': ' - crown'}],yoruba
Adémidé,adé-mi-dé,My crown has come.,unknown,[{'adé': ' - crown'}],yoruba
Adémidoyin,adé-mi-di-oyin,My crown/heritage has turned to sweetness.,unknown,[{'adé': ' - crown'}],yoruba
Adémidun,adé-mi-dùn,My royalty is sweet.,unknown,[{'adé': ' - crown'}],yoruba
Adémidọlá,adé-mi-di-ọlá,My crown has become prestige.,unknown,"[{'adé': ' - crown, royalty'}]",yoruba
Adémidọ̀tun,adé-mi-di-ọ̀tun,My royalty is renewed.,unknown,"[{'adé': ' - crown, royalty'}]",yoruba
Adémigbùjì,adé-mi-gba-ùjì,My crown withstands the wind. [verification needed],unknown,[{'adé': ' - crown'}],yoruba
Adémijí,adé-mi-jí,My crown woke up.,unknown,[{'adé': ' - crown'}],yoruba
Adémijù,adé-mi-jù,My crown is (more) prominent.,unknown,"[{'adé': ' - crown, royalty'}]",yoruba
Adémiládé,a-dé-mi-ní-adé,We have capped me with a crown. I have been justified. I have triumphed.,unknown,[{'a': ' - we have'}],yoruba
Adémilókun,[unknown],[unknown],unknown,,yoruba
Adémilúyì,adé-mi-ní-uyì,My crown is valuable.,unknown,"[{'adé': ' - crown, royalty'}]",yoruba
Adémilọ́lá,a-dé-mi-ní-ọlá,We crowned me with wealth.,unknown,[{'a': ' - we'}],yoruba
